GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
261,913.66,2392.87,2922.05,-2288.92,-20352.15,1087.08,11173.35,-2414.87,89.84,-4152.05,-2325.03,-6477.08
262,883.16,2399.09,2934.27,-2300.62,-20601.28,1113.04,11239.67,-2261.07,89.47,-4332.68,-2171.6,-6504.28
263,889.73,2399.46,2876.28,-2279.12,-20593.56,1090.32,11278.08,-2271.51,89.58,-4338.81,-2181.94,-6520.75
264,890.82,2349.66,2919.98,-2341.66,-20509.41,1078.36,11279.23,-2310.37,87.67,-4333.02,-2222.7,-6555.72
265,872.29,2416.29,2950.61,-2298.15,-20424.5,1091.43,11224.18,-2371.24,89.78,-4167.85,-2281.47,-6449.31
266,915.14,2384.58,2929.66,-2305.97,-20521.94,1081.08,11236.43,-2341.83,87.68,-4281.03,-2254.15,-6535.18
267,838.5,2406.83,2944.24,-2326.42,-20578.41,1082.51,11273.44,-2326.82,89.2,-4359.3,-2237.62,-6596.92
268,875.67,2382.21,2891.92,-2325.2,-20510.28,1109.81,11230.04,-2299.49,86.89,-4345.82,-2212.6,-6558.42
269,877.79,2364.96,2928.55,-2315.79,-20459.06,1109.98,11216.77,-2387.43,91.2,-4276.81,-2296.22,-6573.04
270,865.97,2458.74,2945.95,-2290.96,-20514.57,1094.59,11204.98,-2354.57,89.67,-4235.3,-2264.9,-6500.2
271,870.97,2361.24,2923.94,-2310.16,-20506.01,1069.08,11268.15,-2365.47,92.23,-4322.79,-2273.24,-6596.03
272,880.28,2396.64,2950.93,-2303.78,-20491.07,1110.97,11313.29,-2421.96,92.22,-4142.74,-2329.75,-6472.49
273,832.32,2361.56,2950.59,-2346.14,-20460.04,1092.31,11285.44,-2397.91,89.5,-4283.95,-2308.4,-6592.36
274,870.01,2336.8,2960.96,-2297.44,-20500.92,1122.57,11301.37,-2435.92,92.97,-4206.65,-2342.95,-6549.6
275,911.67,2381.31,2930.58,-2305.95,-20483.92,1093.62,11289.06,-2374.96,87.18,-4183.63,-2287.79,-6471.42
276,901.21,2450.04,2973.49,-2312.64,-20448.89,1087.77,11325.2,-2459.79,92.78,-4023.82,-2367.01,-6390.83
277,877.21,2476.68,2919.94,-2269.54,-20523.93,1091.17,11271.03,-2380.96,90.81,-4157.43,-2290.15,-6447.57
278,851.12,2410.81,2948.16,-2251.52,-20587.23,1105.64,11345.18,-2414.37,93.08,-4177.83,-2321.29,-6499.13
279,901.56,2340.51,2962.5,-2322.46,-20533.81,1098.03,11322.79,-2374.88,92.08,-4230.88,-2282.8,-6513.68
