POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
441,31.7,290.36,23.49,-2.62,-26.23,65.85,5.69,-18.02,1.86,0.0,388.23,-16.17,372.06
442,28.35,304.17,23.86,-3.07,-26.66,58.8,6.32,-17.16,1.89,0.0,391.76,-15.27,376.49
443,39.08,303.76,23.32,-2.95,-26.24,51.37,5.3,-17.23,1.87,0.0,393.64,-15.36,378.28
444,46.54,287.26,23.32,-3.03,-26.21,57.93,5.85,-18.1,1.87,0.0,391.66,-16.23,375.43
445,28.17,286.88,22.53,-2.66,-27.48,72.16,6.31,-16.64,1.85,0.0,385.92,-14.79,371.12
446,23.1,295.75,23.04,-2.75,-27.05,72.92,6.18,-17.64,1.88,0.0,391.2,-15.76,375.44
447,41.23,290.64,23.15,-2.92,-26.59,64.02,5.98,-17.69,1.88,0.0,395.5,-15.8,379.7
448,28.7,298.23,24.91,-2.56,-27.14,62.49,6.31,-17.07,1.89,0.0,390.93,-15.18,375.75
449,21.77,303.62,25.06,-2.75,-25.57,62.53,6.37,-19.4,1.9,0.0,391.02,-17.5,373.53
450,29.09,297.68,23.13,-3.07,-26.6,64.62,6.68,-18.11,1.87,0.0,391.52,-16.24,375.28
451,34.76,291.76,23.84,-2.87,-25.88,64.26,5.62,-18.21,1.89,0.0,391.49,-16.32,375.17
452,26.47,309.39,24.34,-3.09,-26.75,54.02,5.8,-17.29,1.86,0.0,390.18,-15.44,374.75
453,28.36,300.44,22.87,-3.23,-26.62,57.4,6.26,-18.03,1.87,0.0,385.47,-16.16,369.32
454,41.08,289.76,23.11,-2.81,-26.79,59.83,5.77,-17.34,1.9,0.0,389.95,-15.44,374.51
455,31.76,297.64,22.52,-2.99,-26.51,61.06,5.96,-17.88,1.89,0.0,389.44,-15.99,373.45
456,32.88,309.3,22.05,-3.05,-26.17,54.64,5.18,-17.5,1.89,0.0,394.83,-15.6,379.23
457,34.14,290.53,25.51,-2.84,-26.49,62.39,5.91,-17.9,1.9,0.0,389.15,-15.99,373.15
458,25.32,298.28,22.16,-2.42,-26.11,65.15,6.02,-18.22,1.88,0.0,388.39,-16.34,372.06
459,23.75,302.21,25.46,-2.91,-27.93,64.83,6.47,-16.45,1.83,0.0,391.88,-14.61,377.27
460,25.81,298.35,22.86,-2.13,-26.64,67.17,6.55,-17.92,1.87,0.0,391.97,-16.05,375.93
461,45.23,290.06,23.27,-1.69,-26.95,60.1,7.31,-18.13,1.82,0.0,397.34,-16.31,381.03
462,26.29,297.55,26.42,-2.08,-26.33,63.52,5.36,-17.51,1.83,0.0,390.74,-15.68,375.06
463,34.26,298.18,23.25,-2.61,-28.08,60.43,6.7,-17.04,1.83,0.0,392.12,-15.21,376.91
464,44.52,289.27,22.72,-1.94,-26.43,57.56,5.6,-17.66,1.86,0.0,391.28,-15.8,375.49
465,31.06,298.41,25.41,-2.78,-26.34,58.62,5.69,-18.11,1.86,0.0,390.06,-16.26,373.81
466,34.91,294.46,23.67,-3.13,-27.15,60.49,5.83,-16.48,1.88,0.0,389.07,-14.6,374.47
467,37.79,292.34,24.42,-2.8,-27.32,63.4,6.28,-17.5,1.84,0.0,394.1,-15.66,378.44
468,34.32,291.44,22.64,-2.81,-26.28,68.95,5.42,-17.78,1.88,0.0,393.67,-15.9,377.77
469,26.85,304.9,24.34,-1.88,-26.32,59.73,6.53,-18.78,1.86,0.0,394.15,-16.92,377.23
470,31.08,290.8,23.1,-2.92,-25.65,66.48,5.84,-17.8,1.91,0.0,388.73,-15.89,372.85
471,40.6,292.81,22.67,-2.91,-26.54,56.27,5.28,-17.42,1.89,0.0,388.19,-15.53,372.66
472,30.44,299.18,21.94,-1.29,-26.68,58.4,5.84,-17.57,1.85,0.0,387.83,-15.72,372.11
473,37.13,287.42,23.0,-2.87,-25.51,63.59,5.67,-17.92,1.91,0.0,388.43,-16.01,372.42
474,25.18,301.9,24.08,-2.36,-26.16,60.5,6.0,-17.89,1.86,0.0,389.13,-16.03,373.1
475,34.93,291.93,22.02,-1.73,-27.34,68.43,5.85,-16.94,1.86,0.0,394.09,-15.07,379.02
476,32.46,297.2,25.09,-2.61,-26.63,61.09,5.79,-17.31,1.84,0.0,392.39,-15.47,376.92
477,31.79,288.48,22.59,-2.87,-25.77,70.95,5.24,-18.15,1.89,0.0,390.41,-16.26,374.16
478,34.8,291.32,22.95,-3.22,-27.43,62.43,5.86,-16.66,1.83,0.0,386.71,-14.83,371.87
479,24.66,299.64,23.34,-3.13,-27.04,65.8,6.12,-17.01,1.85,0.0,389.39,-15.16,374.23
480,31.97,290.17,22.46,-3.07,-26.88,66.64,6.05,-17.66,1.87,0.0,387.34,-15.79,371.55
481,30.2,288.91,23.77,-3.03,-27.04,66.03,6.49,-17.76,1.87,0.0,385.32,-15.89,369.43
482,27.65,304.94,21.82,-2.77,-25.93,60.41,5.75,-18.01,1.87,0.0,391.87,-16.14,375.73
483,31.33,297.67,25.87,-2.86,-25.87,58.1,5.88,-18.28,1.85,0.0,390.12,-16.43,373.69
484,25.67,305.07,23.61,-2.37,-26.94,59.82,5.57,-17.44,1.86,0.0,390.44,-15.58,374.86
485,33.26,296.17,22.17,-2.08,-25.83,62.24,5.51,-18.17,1.88,0.0,391.44,-16.29,375.15
486,33.39,291.82,23.28,-2.87,-26.26,66.15,6.28,-18.71,1.87,0.0,391.79,-16.85,374.95
487,41.87,290.97,23.44,-2.07,-26.4,60.78,6.27,-18.37,1.88,0.0,394.86,-16.49,378.37
488,29.89,296.46,23.66,-2.59,-25.35,61.05,5.65,-18.22,1.85,0.0,388.76,-16.37,372.39
489,25.94,302.62,22.32,-3.2,-26.9,61.39,5.89,-17.25,1.86,0.0,388.08,-15.39,372.69
490,30.05,296.52,22.49,-2.93,-26.29,68.94,5.97,-17.97,1.87,0.0,394.74,-16.1,378.64
491,34.03,288.74,24.35,-3.05,-26.98,65.21,6.39,-17.18,1.89,0.0,388.69,-15.29,373.4
492,27.06,298.05,22.04,-2.95,-26.08,66.22,6.21,-18.58,1.88,0.0,390.55,-16.7,373.85
493,26.25,295.55,22.9,-2.69,-26.69,72.47,5.73,-17.66,1.86,0.0,393.53,-15.8,377.73
494,33.15,296.57,22.76,-2.83,-25.35,62.62,5.56,-18.02,1.94,0.0,392.48,-16.08,376.4
495,34.94,304.71,22.18,-3.09,-25.88,53.52,5.91,-18.5,1.89,0.0,392.3,-16.6,375.69
496,20.95,301.36,24.22,-3.14,-26.73,67.94,6.17,-17.27,1.86,0.0,390.78,-15.4,375.38
497,21.64,303.55,22.35,-1.13,-26.63,63.69,5.86,-17.38,1.85,0.0,389.32,-15.53,373.79
498,41.9,290.58,22.99,-2.56,-26.18,57.27,5.71,-17.98,1.91,0.0,389.7,-16.07,373.63
499,31.0,288.27,22.87,-2.56,-27.34,68.94,5.64,-16.46,1.85,0.0,386.81,-14.61,372.21
500,27.08,286.73,24.05,-2.99,-26.39,75.97,5.65,-17.41,1.88,0.0,390.1,-15.53,374.57

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
300,-0.0,0.0,-0.0,-34.19,-11.39,-0.0,0.0,35.04,-2.55,0.0,-45.58,32.49,-13.09
301,0.0,-0.0,-0.0,-32.0,-14.73,0.0,0.0,39.29,-2.61,0.0,-46.73,36.69,-10.04
302,0.0,0.0,0.0,-0.0,0.04,0.0,-0.0,-0.03,0.0,0.0,0.04,-0.03,0.0
303,0.0,-0.0,-0.0,-0.0,0.06,-0.0,-0.0,-0.08,0.0,0.0,0.06,-0.08,-0.02
304,0.0,0.0,-0.0,-33.78,-6.08,-0.0,0.0,28.47,-2.47,0.0,-39.86,26.0,-13.86
305,0.0,-0.0,-0.0,-36.02,-8.57,0.0,0.0,33.49,-2.63,0.0,-44.6,30.86,-13.74
306,-0.0,-0.0,0.0,-34.99,-4.48,-0.0,-0.0,26.56,-2.63,0.0,-39.47,23.93,-15.54
307,-0.0,-0.0,0.0,-33.64,-4.46,-0.0,-0.0,28.16,-2.65,0.0,-38.1,25.51,-12.59
308,0.0,-0.0,0.0,-31.18,-4.5,-0.0,-0.0,31.47,-2.67,0.0,-35.68,28.8,-6.88
309,0.0,-0.0,-0.0,-33.82,-2.76,-0.0,0.0,28.99,-2.57,0.0,-36.58,26.41,-10.17
310,-0.0,0.0,-0.0,-35.04,-7.1,-0.0,0.0,32.05,-2.66,0.0,-42.14,29.39,-12.75
311,-0.0,-0.0,0.0,-33.35,-2.51,0.0,-0.0,24.17,-2.48,0.0,-35.86,21.68,-14.18
312,0.0,0.0,-0.0,-34.85,-7.17,0.0,0.0,30.8,-2.54,0.0,-42.02,28.26,-13.76
313,-0.0,-0.0,0.0,-38.76,-12.96,-0.0,0.0,31.09,-2.5,0.0,-51.72,28.59,-23.13
